        Gain ABP: 85.953 adu/mmHg
		 Baseline ABP: -1332
	   sample #	    ABP	    ECG	    ICP
            198	  -1324	   -106	   -374
            199	  -1318	   -250	   -324
            200	  -1336	   -311	   -321
            201	  -1328	   -336	   -339
            202	  -1317	   -336	   -279
            203	  -1325	   -337	   -229
            204	  -1338	   -332	   -194
            205	  -1322	   -274	   -140
            206	  -1321	   -336	   -188
            207	  -1332	   -346	   -222
            208	  -1322	   -334	   -241
            209	  -1301	   -336	   -229
            210	  -1291	   -284	   -230
            211	  -1333	    -81	   -241
            212	  -1326	   -106	   -241
            213	  -1329	   -310	   -261
            214	  -1338	   -354	   -185
            215	  -1336	   -355	   -151
            216	  -1333	  -1612	    -51
            217	  -1305	   3641	    -29
            218	  -1335	   4732	    -54
            219	  -1339	   -795	    -54
            220	  -1297	   -681	    -49
            221	  -1336	   -440	    -10
            222	  -1342	   -415	     -2
            223	  -1333	   -351	    -40
            224	  -1333	   -274	   -132
            225	  -1326	   -184	   -268
            226	  -1336	     -5	   -414
            227	  -1328	    181	   -417
            228	  -1324	    319	   -416
            229	  -1305	    378	   -497
            230	  -1341	    238	   -550
            231	  -1332	     53	   -553
            232	  -1324	    -41	   -558
            233	  -1331	   -186	   -522
            234	  -1329	   -185	   -478
            235	  -1328	   -243	   -422
            236	  -1333	   -246	   -369
            237	  -1336	   -303	   -330
            238	  -1324	   -355	   -294
            239	  -1321	   -380	   -275
            240	  -1333	   -399	   -271
            241	  -1308	   -387	   -358
            242	  -1331	   -370	   -322
            243	  -1308	   -272	   -330
            244	  -1325	    -37	   -279
            245	  -1329	   -306	   -250
            246	  -1331	   -413	   -201
            247	  -1332	   -383	   -135
            248	  -1336	  -1091	    -80
            249	  -1339	    477	    -40
            250	  -1300	   6865	    -52
            251	  -1322	   -338	    -88
            252	  -1339	   -933	    -40
            253	  -1331	   -519	    -15
            254	  -1328	   -529	     -7
            255	  -1338	   -492	    -32
            256	  -1307	   -412	   -183
            257	  -1308	   -304	   -325
            258	  -1335	   -170	   -436
            259	  -1329	    -10	   -467
            260	  -1300	    202	   -464
            261	  -1333	    257	   -511
            262	  -1326	    182	   -594
            263	  -1325	     -8	   -659
            264	  -1333	   -165	   -656
            265	  -1324	   -293	   -640
            266	  -1328	   -336	   -553
            267	  -1338	   -355	   -516
            268	  -1328	   -335	   -447
            269	  -1329	   -366	   -358
            270	  -1339	   -352	   -369
            271	  -1300	   -378	   -336
            272	  -1307	   -385	   -321
            273	  -1332	   -386	   -318
            274	  -1339	   -382	   -328
            275	  -1329	   -344	   -328
            276	  -1321	    -34	   -275
            277	  -1333	   -185	   -269
            278	  -1341	   -369	   -222
            279	  -1297	   -435	   -144
            280	  -1324	   -459	    -94
            281	  -1338	  -1725	    -57
            282	  -1329	   4703	   -101
            283	  -1331	   2802	   -118
            284	  -1335	  -1077	    -80
            285	  -1339	   -732	    -60
            286	  -1329	   -651	    -21
            287	  -1324	   -590	     -5
            288	  -1338	   -546	   -127
            289	  -1339	   -431	   -311
            290	  -1322	   -346	   -456
            291	  -1336	   -185	   -452
            292	  -1336	     46	   -464
            293	  -1309	    169	   -550
            294	  -1321	    136	   -631
            295	  -1329	    -38	   -640
            296	  -1329	   -216	   -704
            297	  -1328	   -352	   -647
            298	  -1324	   -410	   -605
            299	  -1300	   -410	   -561
            300	  -1338	   -443	   -467
            301	  -1329	   -412	   -419
            302	  -1308	   -406	   -392
            303	  -1326	   -408	   -375
            304	  -1328	   -440	   -380
            305	  -1332	   -440	   -333
            306	  -1325	   -443	   -318
            307	  -1339	   -442	   -353
            308	  -1314	   -449	   -333
            309	  -1321	   -339	   -279
            310	  -1302	   -232	   -279
            311	  -1338	    -92	   -285
            312	  -1329	   -307	   -230
            313	  -1312	   -440	   -138
            314	  -1341	   -410	    -90
            315	  -1285	  -1332	    -57
            316	  -1322	    721	    -30
            317	  -1326	   6658	    -63
            318	  -1315	   -533	   -102
            319	  -1331	  -1008	    -51
            320	  -1324	   -688	     46
            321	  -1336	   -649	      7
            322	  -1325	   -597	    -98
            323	  -1324	   -529	   -244
            324	  -1336	   -442	   -403
            325	  -1305	   -290	   -463
            326	  -1329	   -145	   -461
            327	  -1305	     50	   -464
            328	  -1333	    113	   -502
            329	  -1308	    -30	   -597
            330	  -1325	   -213	   -556
            331	  -1336	   -380	   -503
            332	  -1338	   -440	   -469
            333	  -1335	   -471	   -430
            334	  -1333	   -470	   -361
            335	  -1331	   -466	   -230
            336	  -1329	   -445	   -149
            337	  -1325	   -452	    -93
            338	  -1324	   -447	    -23
            339	  -1309	   -503	     85
            340	  -1339	   -504	     48
            341	  -1329	   -485	     76
            342	  -1312	   -470	    177
            343	  -1315	   -382	    222
            344	  -1331	   -291	    224
            345	  -1321	    -67	    194
            346	  -1324	   -292	    233
            347	  -1326	   -440	    339
            348	  -1317	   -442	    553
            349	  -1322	   -931	    648
            350	  -1338	   -387	    647
            351	  -1339	   7497	    511
            352	  -1326	    -35	    508
            353	  -1314	  -1071	    516
            354	  -1333	   -651	    470
            355	  -1332	   -677	    484
            356	  -1333	   -604	    461
            357	  -1309	   -524	    352
            358	  -1341	   -412	     65
            359	  -1331	   -324	   -140
            360	  -1329	   -183	   -185
            361	  -1325	     49	   -133
            362	  -1324	    120	   -257
            363	  -1331	     80	   -332
            364	  -1326	    -78	   -366
            365	  -1331	   -250	   -374
            366	  -1339	   -338	   -380
            367	  -1328	   -380	   -322
            368	  -1332	   -383	   -271
            369	  -1335	   -351	   -225
            370	  -1333	   -350	   -155
            371	  -1312	   -301	   -146
            372	  -1332	   -311	    -82
            373	  -1317	   -308	   -102
            374	  -1301	   -332	    -98
            375	  -1326	   -379	    -91
            376	  -1329	   -338	    -91
            377	  -1318	   -274	   -101
            378	  -1312	   -113	    -60
            379	  -1325	    -75	    -87
            380	  -1307	   -278	    -62
            381	  -1335	   -377	    -55
            382	  -1304	   -414	     71
            383	  -1307	  -1594	    126
            384	  -1329	   2699	     93
            385	  -1319	   5894	    119
            386	  -1332	   -891	    127
            387	  -1324	   -838	    149
            388	  -1326	   -592	    171
            389	  -1324	   -559	    186
            390	  -1321	   -473	    133
            391	  -1309	   -383	    -23
            392	  -1311	   -347	   -146
            393	  -1329	   -215	   -249
            394	  -1325	    -48	   -264
            395	  -1339	    180	   -316
            396	  -1331	    204	   -377
            397	  -1329	    127	   -413
            398	  -1338	    -56	   -483
            399	  -1322	   -186	   -477
            400	  -1332	   -246	   -469
            401	  -1324	   -277	   -464
            402	  -1318	   -278	   -419
            403	  -1339	   -277	   -344
            404	  -1328	   -304	   -279
            405	  -1322	   -338	   -280
            406	  -1300	   -352	   -282
            407	  -1329	   -343	   -316
            408	  -1331	   -355	   -327
            409	  -1335	   -336	   -327
            410	  -1338	   -352	   -293
            411	  -1332	    -37	   -288
            412	  -1326	   -193	   -277
            413	  -1325	   -354	   -255
            414	  -1341	   -382	   -183
            415	  -1326	   -477	   -104
            416	  -1328	  -1508	    -48
            417	  -1336	   5713	    -37
            418	  -1335	   2006	    -57
            419	  -1332	  -1015	    -43
            420	  -1324	   -694	    -80
            421	  -1341	   -615	     -2
            422	  -1329	   -559	     -7
            423	  -1331	   -499	    -65
